28,960937
28,472656
28,472656
27,984375
27,984375
27,496094
27,496094
27,007812
27,007812
27,007812
27,007812
27,007812
27,007812
27,007812
26,519531
25,054687
25,542969
26,519531
27,007812
26,519531
26,031250
26,031250
26,031250
26,031250
25,542969
25,542969
25,542969
25,542969
23,589844
23,589844
23,589844
23,589844
23,589844
23,589844
24,566406
26,519531
27,984375
28,472656
27,984375
27,984375
27,496094
27,496094
28,960937
29,937500
30,425781
30,914062
30,914062
31,402344
30,914062
30,425781
29,937500
